Team,Elo_Rating,source,asof
Spain,2155,international-football.net,2026-06-11
Argentina,2114,international-football.net,2026-06-11
France,2062,international-football.net,2026-06-11
England,2021,international-football.net,2026-06-11
Brazil,1991,international-football.net,2026-06-11
Portugal,1986,international-football.net,2026-06-11
Colombia,1977,international-football.net,2026-06-11
Netherlands,1944,international-football.net,2026-06-11
Ecuador,1935,international-football.net,2026-06-11
Germany,1932,international-football.net,2026-06-11
Norway,1917,international-football.net,2026-06-11
Türkiye,1911,international-football.net,2026-06-11
Croatia,1908,international-football.net,2026-06-11
Japan,1906,international-football.net,2026-06-11
Belgium,1893,international-football.net,2026-06-11
Uruguay,1892,international-football.net,2026-06-11
Switzerland,1891,international-football.net,2026-06-11
Mexico,1875,international-football.net,2026-06-11
Senegal,1867,international-football.net,2026-06-11
Paraguay,1833,international-football.net,2026-06-11
Austria,1830,international-football.net,2026-06-11
Morocco,1824,international-football.net,2026-06-11
Canada,1788,international-football.net,2026-06-11
Scotland,1782,international-football.net,2026-06-11
Australia,1777,international-football.net,2026-06-11
Iran,1772,international-football.net,2026-06-11
Algeria,1760,international-football.net,2026-06-11
South Korea,1758,international-football.net,2026-06-11
Czechia,1740,international-football.net,2026-06-11
Panama,1730,international-football.net,2026-06-11
United States,1726,international-football.net,2026-06-11
Uzbekistan,1718,international-football.net,2026-06-11
Sweden,1712,international-football.net,2026-06-11
Egypt,1696,international-football.net,2026-06-11
Côte d'Ivoire,1695,international-football.net,2026-06-11
Jordan,1685,international-football.net,2026-06-11
DR Congo,1661,international-football.net,2026-06-11
Tunisia,1628,international-football.net,2026-06-11
Iraq,1618,international-football.net,2026-06-11
Bosnia and Herzegovina,1595,international-football.net,2026-06-11
Cape Verde,1578,international-football.net,2026-06-11
Saudi Arabia,1569,international-football.net,2026-06-11
New Zealand,1562,international-football.net,2026-06-11
Haiti,1548,international-football.net,2026-06-11
South Africa,1528,international-football.net,2026-06-11
Ghana,1510,international-football.net,2026-06-11
Curaçao,1434,international-football.net,2026-06-11
Qatar,1421,international-football.net,2026-06-11
