Team,American_Odds,Decimal_Odds,Implied_Raw_%,Implied_Devig_%,source,asof
Spain,+450,5.50,18.182,14.644,BetMGM via Yahoo Sports,2026-06-12
France,+475,5.75,17.391,14.007,BetMGM via Yahoo Sports,2026-06-12
England,+700,8.00,12.500,10.068,BetMGM via Yahoo Sports,2026-06-12
Portugal,+700,8.00,12.500,10.068,BetMGM via Yahoo Sports,2026-06-12
Argentina,+900,10.00,10.000,8.054,BetMGM via Yahoo Sports,2026-06-12
Brazil,+900,10.00,10.000,8.054,BetMGM via Yahoo Sports,2026-06-12
Germany,+1400,15.00,6.667,5.369,BetMGM via Yahoo Sports,2026-06-12
Netherlands,+2000,21.00,4.762,3.835,BetMGM via Yahoo Sports,2026-06-12
Belgium,+3300,34.00,2.941,2.369,BetMGM via Yahoo Sports,2026-06-12
Norway,+3300,34.00,2.941,2.369,BetMGM via Yahoo Sports,2026-06-12
Colombia,+4000,41.00,2.439,1.964,BetMGM via Yahoo Sports,2026-06-12
Morocco,+4000,41.00,2.439,1.964,BetMGM via Yahoo Sports,2026-06-12
Japan,+5000,51.00,1.961,1.579,BetMGM via Yahoo Sports,2026-06-12
United States,+5000,51.00,1.961,1.579,BetMGM via Yahoo Sports,2026-06-12
Mexico,+6600,67.00,1.493,1.202,BetMGM via Yahoo Sports,2026-06-12
Senegal,+6600,67.00,1.493,1.202,BetMGM via Yahoo Sports,2026-06-12
Switzerland,+6600,67.00,1.493,1.202,BetMGM via Yahoo Sports,2026-06-12
Türkiye,+6600,67.00,1.493,1.202,BetMGM via Yahoo Sports,2026-06-12
Uruguay,+6600,67.00,1.493,1.202,BetMGM via Yahoo Sports,2026-06-12
Croatia,+8000,81.00,1.235,0.994,BetMGM via Yahoo Sports,2026-06-12
Ecuador,+8000,81.00,1.235,0.994,BetMGM via Yahoo Sports,2026-06-12
Sweden,+10000,101.00,0.990,0.797,BetMGM via Yahoo Sports,2026-06-12
Austria,+15000,151.00,0.662,0.533,BetMGM via Yahoo Sports,2026-06-12
Canada,+15000,151.00,0.662,0.533,BetMGM via Yahoo Sports,2026-06-12
Côte d'Ivoire,+20000,201.00,0.498,0.401,BetMGM via Yahoo Sports,2026-06-12
South Korea,+20000,201.00,0.498,0.401,BetMGM via Yahoo Sports,2026-06-12
Algeria,+25000,251.00,0.398,0.321,BetMGM via Yahoo Sports,2026-06-12
Bosnia and Herzegovina,+25000,251.00,0.398,0.321,BetMGM via Yahoo Sports,2026-06-12
Egypt,+25000,251.00,0.398,0.321,BetMGM via Yahoo Sports,2026-06-12
Paraguay,+25000,251.00,0.398,0.321,BetMGM via Yahoo Sports,2026-06-12
Scotland,+25000,251.00,0.398,0.321,BetMGM via Yahoo Sports,2026-06-12
Czechia,+30000,301.00,0.332,0.268,BetMGM via Yahoo Sports,2026-06-12
Australia,+50000,501.00,0.200,0.161,BetMGM via Yahoo Sports,2026-06-12
Ghana,+50000,501.00,0.200,0.161,BetMGM via Yahoo Sports,2026-06-12
Iran,+50000,501.00,0.200,0.161,BetMGM via Yahoo Sports,2026-06-12
Tunisia,+50000,501.00,0.200,0.161,BetMGM via Yahoo Sports,2026-06-12
DR Congo,+75000,751.00,0.133,0.107,BetMGM via Yahoo Sports,2026-06-12
Cape Verde,+100000,1001.00,0.100,0.080,BetMGM via Yahoo Sports,2026-06-12
Iraq,+100000,1001.00,0.100,0.080,BetMGM via Yahoo Sports,2026-06-12
Jordan,+100000,1001.00,0.100,0.080,BetMGM via Yahoo Sports,2026-06-12
New Zealand,+100000,1001.00,0.100,0.080,BetMGM via Yahoo Sports,2026-06-12
Panama,+100000,1001.00,0.100,0.080,BetMGM via Yahoo Sports,2026-06-12
Qatar,+100000,1001.00,0.100,0.080,BetMGM via Yahoo Sports,2026-06-12
Saudi Arabia,+100000,1001.00,0.100,0.080,BetMGM via Yahoo Sports,2026-06-12
South Africa,+100000,1001.00,0.100,0.080,BetMGM via Yahoo Sports,2026-06-12
Uzbekistan,+100000,1001.00,0.100,0.080,BetMGM via Yahoo Sports,2026-06-12
Curaçao,+250000,2501.00,0.040,0.032,BetMGM via Yahoo Sports,2026-06-12
Haiti,+250000,2501.00,0.040,0.032,BetMGM via Yahoo Sports,2026-06-12
