Team,Futi_Rating,Attack,Defense,Formation,Top_Player,Top_Player_Rating,Coach
Spain,95,91,99,4-3-3,Rodri,83,Luis de la Fuente
Argentina,90,89,90,4-3-3,Lionel Messi,81,Lionel Scaloni
France,88,87,90,4-3-3,Michael Olise,74,Didier Deschamps
Brazil,86,85,87,4-2-3-1,Gabriel,76,Carlo Ancelotti
England,86,85,86,4-3-3,Ezri Konsa,97,Thomas Tuchel
Portugal,85,86,84,4-3-3,Tomás Araújo,60,Roberto Martinez
Belgium,82,84,79,4-3-3,Brandon Mechele,75,Rudi Garcia
Morocco,82,69,94,4-2-3-1,Noussair Mazraoui,69,Walid Regragui
Colombia,82,82,83,4-3-3,Johan Mojica,75,Nestor Lorenzo
Netherlands,81,87,75,4-3-3,Virgil van Dijk,67,Ronald Koeman
Germany,80,89,71,4-3-3,Nathaniel Brown,91,Julian Nagelsmann
Japan,76,75,77,4-3-3,Shogo Taniguchi,61,Hajime Moriyasu
Uruguay,76,69,84,4-3-3,Juan Manuel Sanabria,70,Marcelo Bielsa
Ecuador,76,64,87,4-3-3,Pedro Vite,72,Sebastian Beccacece
Switzerland,75,78,72,4-3-3,Dan Ndoye,85,Murat Yakin
Norway,74,80,69,4-3-3,Erling Håland,97,Stale Solbakken
Croatia,74,76,73,4-3-3,Luka Vušković,63,Zlatko Dalic
Austria,72,72,73,4-3-3,Stefan Posch,59,Ralf Rangnick
Senegal,70,69,72,4-3-3,Ismaïla Sarr,71,Pape Thiaw
Algeria,70,73,66,4-3-3,Ramy Bensebaini,58,Vladimir Petkovic
Mexico,70,67,72,4-1-4-1,Roberto Alvarado,94,Javier Aguirre
Iran,68,66,69,4-3-3,Ramin Rezaeian,86,Amir Ghalenoei
Australia,68,64,73,5-4-1,Alessandro Circati,78,Tony Popovic
Sweden,67,75,59,4-3-3,Viktor Gyökeres,97,Jon Dahl Tomasson
Côte d'Ivoire,67,62,72,4-3-3,Yan Diomande,87,
Turkey,67,74,60,4-2-3-1,Kerem Aktürkoglu,87,
Canada,66,64,68,4-4-2,Ali Ahmed,99,Jesse Marsch
Egypt,66,59,72,4-3-3,Emam Ashour,89,Hossam Hassan
Paraguay,65,59,71,4-4-2,Gustavo Gómez,82,Gustavo Alfaro
South Korea,64,64,63,3-4-2-1,Son Heung-Min,89,
Czech Republic,64,68,59,3-4-2-1,Tomáš Souček,60,
Scotland,64,65,63,4-4-2,Grant Campbell Hanley,84,Steve Clarke
United States,64,68,61,4-2-3-1,Malik Tillman,97,
Tunisia,60,57,62,4-3-3,Amine Ben Hmida,80,Sami Trabelsi
Congo DR,60,52,68,4-3-3,Samuel Moutoussamy,55,Sebastien Desabre
Uzbekistan,56,54,59,4-3-3,Rustam Ashurmatov,66,Timur Kapadze
South Africa,55,51,59,3-5-2,Yaya Sithole,77,Hugo Broos
Ghana,55,53,57,4-3-3,Caleb Yirenkyi,89,Otto Addo
Bosnia-Herzegovina,54,55,54,4-4-2,Ivan Basic,64,
Cape Verde Islands,52,50,55,4-3-3,Diney Borges,59,
Saudi Arabia,52,49,56,4-3-3,Abdulelah Al Amri,87,Herve Renard
Jordan,52,56,47,4-3-3,Ali Olwan,53,Jamal Sellami
Panama,52,54,49,4-3-3,Amir Murillo,97,Thomas Christiansen
Iraq,50,47,54,4-3-3,Akam Hashem,65,Graham Arnold
New Zealand,47,43,51,4-3-3,Chris Wood,79,Darren Bazeley
Qatar,47,53,41,4-3-3,Boualem Khoukhi,96,Bartolome Marquez
Haiti,46,51,41,4-4-2,Frantzdy Pierrot,91,Sebastien Migne
Curaçao,38,41,36,4-3-3,Armando Obispo,63,
