Team,Futi_Rating,Attack,Defense,Formation,Top_Player,Top_Player_Rating,Coach
Argentina,92,85,99,4 - 3 - 3,Lionel Messi,99,Lionel Scaloni
Spain,90,91,90,4 - 3 - 3,Rodri,75,Luis de la Fuente
England,89,82,96,4 - 3 - 3,Declan Rice,76,Thomas Tuchel
Brazil,89,90,88,4 - 3 - 3,Bruno Guimarães,78,Carlo Ancelotti
Portugal,85,86,84,4 - 3 - 3,Bruno Fernandes,79,Roberto Martinez
France,85,86,84,4 - 3 - 3,Rayan Cherki,97,Didier Deschamps
Colombia,82,82,83,4 - 3 - 3,Cucho Hernández,99,Nestor Lorenzo
Morocco,82,68,95,4 - 3 - 3,Noussair Mazraoui,47,Walid Regragui
Belgium,81,84,78,4 - 3 - 3,Jérémy Doku,83,Rudi Garcia
Germany,80,87,72,4 - 3 - 3,Florian Wirtz,70,Julian Nagelsmann
Netherlands,80,85,76,4 - 3 - 3,Tijjani Reijnders,70,Ronald Koeman
Uruguay,78,69,86,4 - 3 - 3,Juan Manuel Sanabria,52,Marcelo Bielsa
Ecuador,76,66,87,4 - 3 - 3,Moisés Caicedo,61,Sebastian Beccacece
Japan,76,74,77,4 - 3 - 3,Daichi Kamada,51,Hajime Moriyasu
Croatia,76,76,75,4 - 3 - 3,Petar Musa,80,Zlatko Dalic
Norway,74,78,70,4 - 3 - 3,Erling Håland,94,Stale Solbakken
Switzerland,74,78,71,4 - 3 - 3,Noah Okafor,64,Murat Yakin
Senegal,72,68,76,4 - 3 - 3,Nicolas Jackson,81,Pape Thiaw
Austria,72,72,73,4 - 3 - 3,Alessandro Schöpf,56,Ralf Rangnick
Algeria,70,73,68,4 - 3 - 3,Rayan Aït Nouri,50,Vladimir Petkovic
Iran,68,67,69,4 - 3 - 3,Saman Ghoddos,42,Amir Ghalenoei
Mexico,68,67,70,4 - 1 - 4 - 1,Roberto Alvarado,94,Javier Aguirre
Australia,68,65,70,4 - 3 - 3,Lucas Herrington,75,Tony Popovic
Turkey,67,74,60,4 - 3 - 3,Ferdi Kadioglu,44,
Sweden,66,73,60,4 - 3 - 3,Viktor Gyökeres,65,Jon Dahl Tomasson
Paraguay,66,60,72,4 - 3 - 3,Diego Gómez,63,Gustavo Alfaro
Côte d'Ivoire,66,61,70,4 - 3 - 3,Amad Diallo,70,
Egypt,65,58,72,4 - 3 - 3,Mohamed Salah,65,Hossam Hassan
Scotland,64,66,62,4 - 3 - 3,Andrew Robertson,63,Steve Clarke
Czech Republic,64,68,60,3 - 4 - 2 - 1,Jaroslav Zelený,65,
United States,64,67,61,4 - 3 - 3,Alexander Freeman,82,
Canada,64,62,67,4 - 3 - 3,Ali Ahmed,99,Jesse Marsch
South Korea,64,65,63,3 - 4 - 2 - 1,Son Heung-Min,92,
Tunisia,63,57,69,4 - 3 - 3,Rayan Elloumi,44,Sami Trabelsi
Congo DR,59,52,66,4 - 3 - 3,Aaron Wan-Bissaka,49,Sebastien Desabre
Uzbekistan,58,54,63,4 - 3 - 3,Abdukodir Khusanov,54,Timur Kapadze
South Africa,54,51,57,3 - 5 - 2,Yaya Sithole,84,Hugo Broos
Bosnia-Herzegovina,54,54,54,4 - 3 - 3,Esmir Bajraktarevic,25,
Ghana,54,53,54,4 - 3 - 3,Abdul Fatawu,51,Otto Addo
Saudi Arabia,53,50,56,4 - 3 - 3,Nawaf Alaqidi,0,Herve Renard
Jordan,52,56,48,4 - 3 - 3,Yazeed Abulaila,0,Jamal Sellami
Iraq,52,48,57,4 - 3 - 3,Ali Al-Hamadi,43,Graham Arnold
Panama,52,55,48,4 - 3 - 3,Carlos Harvey,45,Thomas Christiansen
Cape Verde Islands,50,49,52,4 - 3 - 3,Steven Moreira,40,
Qatar,48,53,42,4 - 3 - 3,Meshaal Barsham,0,Bartolome Marquez
New Zealand,48,42,53,4 - 3 - 3,Finn Surman,78,Darren Bazeley
Haiti,46,52,39,4 - 3 - 3,Danley Jean Jacques,51,Sebastien Migne
Curaçao,39,41,37,4 - 3 - 3,Tahith Chong,14,
