Team,Win_Probability_%,Simulated_Final_Appearances_per_100k,Transfermarkt_Squad_Value_Millions_EUR,Bookmaker_Consensus_Odds_Decimal,Zeileis_Rank
Spain,11.12,26100,1346,6.9,1
France,9.51,22320,950,8.1,2
England,9.51,22320,1052,8.1,3
Germany,8.59,20160,1079,8.9,4
Argentina,7.52,17640,941,10.2,5
Brazil,5.45,12780,785,14.1,6
Portugal,4.99,11700,662,15.4,7
Netherlands,3.99,9360,913,19.2,8
Colombia,2.26,5310,349,33.9,9
New Zealand,2.19,5130,299,35.1,10
Ecuador,1.98,4644,504,38.8,11
Cape Verde,1.97,4626,524,38.9,12
Bosnia and Herzegovina,1.97,4626,403,38.9,13
Uruguay,1.94,4554,571,39.5,14
IR Iran,1.71,4014,545,44.8,15
Canada,1.7,3996,268,45.0,16
Sweden,1.6,3762,328,47.8,17
Haiti,1.58,3708,215,48.5,18
Mexico,1.47,3456,507,52.1,19
Algeria,1.47,3456,388,52.1,20
Jordan,1.44,3384,295,53.2,21
Belgium,1.43,3366,395,53.5,22
Panama,1.41,3312,446,54.3,23
Ivory Coast,1.27,2970,247,60.6,24
Türkiye,1.2,2826,252,63.7,25
Senegal,1.19,2790,357,64.5,26
Tunisia,1.1,2574,488,69.9,27
Ghana,1.07,2520,556,71.4,28
Scotland,1.02,2394,295,75.2,29
Switzerland,0.95,2232,554,80.6,30
Uzbekistan,0.92,2160,209,83.3,31
Croatia,0.84,1962,300,91.7,32
Korea Republic,0.63,1476,101,122.0,33
Japan,0.63,1476,117,122.0,34
Egypt,0.43,1008,126,178.6,35
Czechia,0.41,954,10,188.7,36
USA,0.31,738,123,243.9,37
Qatar,0.22,522,103,344.8,38
Austria,0.19,450,136,400.0,39
Curaçao,0.17,396,11,454.5,40
Paraguay,0.12,270,95,666.7,41
Congo DR,0.12,270,147,666.7,42
Morocco,0.1,234,129,769.2,43
Norway,0.1,234,24,769.2,44
Australia,0.07,162,126,1111.1,45
Iraq,0.07,162,137,1111.1,46
South Africa,0.05,108,94,1666.7,47
Saudi Arabia,0.04,90,78,2000.0,48
