Team,Elo_Rating,source,asof
Spain,2129,eloratings.net,2026-06-17
Argentina,2128,eloratings.net,2026-06-17
France,2084,eloratings.net,2026-06-17
England,2055,eloratings.net,2026-06-17
Brazil,1978,eloratings.net,2026-06-17
Portugal,1967,eloratings.net,2026-06-17
Colombia,1998,eloratings.net,2026-06-17
Netherlands,1944,eloratings.net,2026-06-17
Ecuador,1890,eloratings.net,2026-06-17
Germany,1939,eloratings.net,2026-06-17
Norway,1929,eloratings.net,2026-06-17
Türkiye,1849,eloratings.net,2026-06-17
Croatia,1881,eloratings.net,2026-06-17
Japan,1910,eloratings.net,2026-06-17
Belgium,1879,eloratings.net,2026-06-17
Uruguay,1870,eloratings.net,2026-06-17
Switzerland,1865,eloratings.net,2026-06-17
Mexico,1881,eloratings.net,2026-06-17
Senegal,1839,eloratings.net,2026-06-17
Paraguay,1780,eloratings.net,2026-06-17
Austria,1857,eloratings.net,2026-06-17
Morocco,1840,eloratings.net,2026-06-17
Canada,1767,eloratings.net,2026-06-17
Scotland,1794,eloratings.net,2026-06-17
Australia,1839,eloratings.net,2026-06-17
Iran,1756,eloratings.net,2026-06-17
Algeria,1759,eloratings.net,2026-06-17
South Korea,1786,eloratings.net,2026-06-17
Czechia,1712,eloratings.net,2026-06-17
Panama,1683,eloratings.net,2026-06-17
United States,1780,eloratings.net,2026-06-17
Uzbekistan,1698,eloratings.net,2026-06-17
Sweden,1755,eloratings.net,2026-06-17
Egypt,1711,eloratings.net,2026-06-17
Côte d'Ivoire,1743,eloratings.net,2026-06-17
Jordan,1653,eloratings.net,2026-06-17
DR Congo,1674,eloratings.net,2026-06-17
Tunisia,1585,eloratings.net,2026-06-17
Iraq,1592,eloratings.net,2026-06-17
Bosnia and Herzegovina,1616,eloratings.net,2026-06-17
Cape Verde,1606,eloratings.net,2026-06-17
Saudi Arabia,1598,eloratings.net,2026-06-17
New Zealand,1578,eloratings.net,2026-06-17
Haiti,1536,eloratings.net,2026-06-17
South Africa,1511,eloratings.net,2026-06-17
Ghana,1557,eloratings.net,2026-06-17
Curaçao,1427,eloratings.net,2026-06-17
Qatar,1447,eloratings.net,2026-06-17
