match_no,round,date_et,kickoff_et_24h,kickoff_et,stadium,city,country,tv_us,team_a,team_b,score_a,score_b,decided_by,winner,status,notes
73,R32,2026-06-28,15:00,3:00 PM,SoFi Stadium,Inglewood,USA,,South Africa,Canada,,,,,scheduled,
74,R32,2026-06-29,16:30,4:30 PM,Gillette Stadium,Foxborough,USA,,Germany,Paraguay,,,,,scheduled,
75,R32,2026-06-29,21:00,9:00 PM,Estadio BBVA,Monterrey,Mexico,,Netherlands,Morocco,,,,,scheduled,
76,R32,2026-06-29,13:00,1:00 PM,NRG Stadium,Houston,USA,,Brazil,Japan,,,,,scheduled,
77,R32,2026-06-30,17:00,5:00 PM,MetLife Stadium,East Rutherford,USA,,France,Sweden,,,,,scheduled,
78,R32,2026-06-30,13:00,1:00 PM,AT&T Stadium,Arlington,USA,,Côte d'Ivoire,Norway,,,,,scheduled,
79,R32,2026-06-30,21:00,9:00 PM,Estadio Azteca,Mexico City,Mexico,,Mexico,Ecuador,,,,,scheduled,
80,R32,2026-07-01,12:00,12:00 PM,Mercedes-Benz Stadium,Atlanta,USA,,England,DR Congo,,,,,scheduled,
81,R32,2026-07-01,20:00,8:00 PM,Levi's Stadium,Santa Clara,USA,,United States,Bosnia and Herzegovina,,,,,scheduled,
82,R32,2026-07-01,16:00,4:00 PM,Lumen Field,Seattle,USA,,Belgium,Senegal,,,,,scheduled,
83,R32,2026-07-02,19:00,7:00 PM,BMO Field,Toronto,Canada,,Portugal,Croatia,,,,,scheduled,
84,R32,2026-07-02,15:00,3:00 PM,SoFi Stadium,Inglewood,USA,,Spain,Austria,,,,,scheduled,
85,R32,2026-07-02,23:00,11:00 PM,BC Place,Vancouver,Canada,,Switzerland,Algeria,,,,,scheduled,
86,R32,2026-07-03,18:00,6:00 PM,Hard Rock Stadium,Miami Gardens,USA,,Argentina,Cape Verde,,,,,scheduled,
87,R32,2026-07-03,21:30,9:30 PM,Arrowhead Stadium,Kansas City,USA,,Colombia,Ghana,,,,,scheduled,
88,R32,2026-07-03,14:00,2:00 PM,AT&T Stadium,Arlington,USA,,Australia,Egypt,,,,,scheduled,
89,R16,2026-07-04,17:00,5:00 PM,Lincoln Financial Field,Philadelphia,USA,,,,,,,,scheduled,
90,R16,2026-07-04,13:00,1:00 PM,NRG Stadium,Houston,USA,,,,,,,,scheduled,
91,R16,2026-07-05,16:00,4:00 PM,MetLife Stadium,East Rutherford,USA,,,,,,,,scheduled,
92,R16,2026-07-05,20:00,8:00 PM,Estadio Azteca,Mexico City,Mexico,,,,,,,,scheduled,
93,R16,2026-07-06,15:00,3:00 PM,AT&T Stadium,Arlington,USA,,,,,,,,scheduled,
94,R16,2026-07-06,20:00,8:00 PM,Lumen Field,Seattle,USA,,,,,,,,scheduled,
95,R16,2026-07-07,12:00,12:00 PM,Mercedes-Benz Stadium,Atlanta,USA,,,,,,,,scheduled,
96,R16,2026-07-07,16:00,4:00 PM,BC Place,Vancouver,Canada,,,,,,,,scheduled,
97,QF,2026-07-09,16:00,4:00 PM,Gillette Stadium,Foxborough,USA,,,,,,,,scheduled,
98,QF,2026-07-10,15:00,3:00 PM,SoFi Stadium,Inglewood,USA,,,,,,,,scheduled,
99,QF,2026-07-11,17:00,5:00 PM,Hard Rock Stadium,Miami Gardens,USA,,,,,,,,scheduled,
100,QF,2026-07-11,21:00,9:00 PM,Arrowhead Stadium,Kansas City,USA,,,,,,,,scheduled,
101,SF,2026-07-14,15:00,3:00 PM,AT&T Stadium,Arlington,USA,,,,,,,,scheduled,
102,SF,2026-07-15,15:00,3:00 PM,Mercedes-Benz Stadium,Atlanta,USA,,,,,,,,scheduled,
103,3RD,2026-07-18,17:00,5:00 PM,Hard Rock Stadium,Miami Gardens,USA,,,,,,,,scheduled,
104,Final,2026-07-19,15:00,3:00 PM,MetLife Stadium,East Rutherford,USA,,,,,,,,scheduled,
