match_id,market,selection,line,odds,source,phase,timestamp
C1,h2h,home,,1.610,median/betmgm-web,snapshot,2026-06-12T15:21:22-04:00
C1,h2h,draw,,3.900,median/betmgm-web,snapshot,2026-06-12T15:21:22-04:00
C1,h2h,away,,5.500,median/betmgm-web,snapshot,2026-06-12T15:21:22-04:00
C1,h2h,home,,1.610,best:betmgm-web,snapshot,2026-06-12T15:21:22-04:00
C1,h2h,draw,,3.900,best:betmgm-web,snapshot,2026-06-12T15:21:22-04:00
C1,h2h,away,,5.500,best:betmgm-web,snapshot,2026-06-12T15:21:22-04:00
D1,h2h,away,,3.900,median/9books,snapshot,2026-06-12T15:47:46-04:00
D1,h2h,away,,4.000,best:betonlineag,snapshot,2026-06-12T15:47:46-04:00
D1,h2h,home,,2.100,median/9books,snapshot,2026-06-12T15:47:46-04:00
D1,h2h,home,,2.140,best:betonlineag,snapshot,2026-06-12T15:47:46-04:00
D1,h2h,draw,,3.200,median/9books,snapshot,2026-06-12T15:47:46-04:00
D1,h2h,draw,,3.250,best:bovada,snapshot,2026-06-12T15:47:46-04:00
D1,totals,over,2.5,2.490,median/2books,snapshot,2026-06-12T15:47:46-04:00
D1,totals,over,2.5,2.550,best:betmgm,snapshot,2026-06-12T15:47:46-04:00
D1,totals,under,2.5,1.535,median/2books,snapshot,2026-06-12T15:47:46-04:00
D1,totals,under,2.5,1.540,best:betmgm,snapshot,2026-06-12T15:47:46-04:00
D1,spreads,away,0.25,2.050,median/1books,snapshot,2026-06-12T15:47:46-04:00
D1,spreads,away,0.25,2.050,best:bovada,snapshot,2026-06-12T15:47:46-04:00
D1,spreads,home,-0.25,1.800,median/1books,snapshot,2026-06-12T15:47:46-04:00
D1,spreads,home,-0.25,1.800,best:bovada,snapshot,2026-06-12T15:47:46-04:00
D1,totals,over,2.0,1.830,median/5books,snapshot,2026-06-12T15:47:46-04:00
D1,totals,over,2.0,1.850,best:betonlineag,snapshot,2026-06-12T15:47:46-04:00
D1,totals,under,2.0,2.000,median/5books,snapshot,2026-06-12T15:47:46-04:00
D1,totals,under,2.0,2.020,best:betonlineag,snapshot,2026-06-12T15:47:46-04:00
D1,spreads,away,0.5,1.770,median/4books,snapshot,2026-06-12T15:47:46-04:00
D1,spreads,away,0.5,1.770,best:betonlineag,snapshot,2026-06-12T15:47:46-04:00
D1,spreads,home,-0.5,2.130,median/4books,snapshot,2026-06-12T15:47:46-04:00
D1,spreads,home,-0.5,2.140,best:betonlineag,snapshot,2026-06-12T15:47:46-04:00
B2,h2h,home,,13.000,median/9books,snapshot,2026-06-12T15:47:46-04:00
B2,h2h,home,,15.000,best:betrivers,snapshot,2026-06-12T15:47:46-04:00
B2,h2h,away,,1.230,median/9books,snapshot,2026-06-12T15:47:46-04:00
B2,h2h,away,,1.240,best:betonlineag,snapshot,2026-06-12T15:47:46-04:00
B2,h2h,draw,,6.500,median/9books,snapshot,2026-06-12T15:47:46-04:00
B2,h2h,draw,,6.550,best:betonlineag,snapshot,2026-06-12T15:47:46-04:00
B2,spreads,home,1.5,2.170,median/4books,snapshot,2026-06-12T15:47:46-04:00
B2,spreads,home,1.5,2.190,best:betonlineag,snapshot,2026-06-12T15:47:46-04:00
B2,spreads,away,-1.5,1.740,median/4books,snapshot,2026-06-12T15:47:46-04:00
B2,spreads,away,-1.5,1.740,best:betonlineag,snapshot,2026-06-12T15:47:46-04:00
B2,totals,over,2.5,1.710,median/5books,snapshot,2026-06-12T15:47:46-04:00
B2,totals,over,2.5,1.740,best:betmgm,snapshot,2026-06-12T15:47:46-04:00
B2,totals,under,2.5,2.170,median/5books,snapshot,2026-06-12T15:47:46-04:00
B2,totals,under,2.5,2.230,best:betonlineag,snapshot,2026-06-12T15:47:46-04:00
B2,spreads,home,1.75,1.870,median/1books,snapshot,2026-06-12T15:47:46-04:00
B2,spreads,home,1.75,1.870,best:bovada,snapshot,2026-06-12T15:47:46-04:00
B2,spreads,away,-1.75,1.950,median/1books,snapshot,2026-06-12T15:47:46-04:00
