match_id,market,selection,line,odds,book,edge_pp,our_p,implied_p,stake,timestamp,status,units,clv_pp
D1,h2h,away,,4.00,betonlineag,11.0,0.3575,0.2477,1,2026-06-12T16:25:19-04:00,lost,-1.00,-0.7
D1,totals,over,2.0,1.87,mybookieag,10.6,0.6259,0.5195,1,2026-06-12T19:00:33-04:00,won,+0.87,-0.0
D1,spreads,away,0.5,1.80,bovada,10.5,0.6444,0.5398,1,2026-06-12T19:00:33-04:00,lost,-1.00,+0.0
B2,spreads,away,-1.5,1.67,betus,8.9,0.6739,0.5850,1,2026-06-13T09:59:50-04:00,lost,-1.00,+0.0
D2,spreads,home,0.5,2.25,betus,8.8,0.5219,0.4340,1,2026-06-13T09:59:50-04:00,won,+1.25,-0.7
D2,totals,over,2.5,2.05,bovada,6.8,0.5401,0.4723,1,2026-06-13T09:59:50-04:00,lost,-1.00,-0.3
D2,h2h,home,,5.40,betonlineag,5.8,0.2417,0.1836,1,2026-06-13T09:59:50-04:00,won,+4.40,-0.3
F1,totals,over,2.5,2.00,betmgm,4.6,0.5269,0.4805,1,2026-06-14T07:42:42-04:00,won,+1.00,
E2,totals,over,1.75,1.85,bovada,4.9,0.5655,0.5170,1,2026-06-14T07:42:42-04:00,lost,-1.00,
F2,totals,over,2,1.65,betonlineag,4.4,0.6322,0.5885,1,2026-06-14T07:42:42-04:00,won,+0.65,
F1,h2h,away,,3.82,betus,4.2,0.3000,0.2583,1,2026-06-14T14:03:23-04:00,lost,-1.00,+0.5
F2,h2h,away,,4.35,betonlineag,4.0,0.2735,0.2330,1,2026-06-14T14:03:23-04:00,lost,-1.00,-3.7
H1,h2h,home,,1.07,draftkings,4.5,0.9408,0.8954,1,2026-06-15T09:05:08-04:00,lost,-1.00,
G1,h2h,home,,1.59,draftkings,7.5,0.6690,0.5937,1,2026-06-15T09:05:08-04:00,lost,-1.00,+0.7
H2,h2h,away,,1.45,draftkings,9.8,0.7565,0.6586,1,2026-06-15T09:05:08-04:00,lost,-1.00,+1.4
J1,h2h,home,,1.44,draftkings,13.0,0.7916,0.6614,1,2026-06-16T08:36:17-04:00,won,+0.44,+0.7
I2,totals,under,2.5,2.38,betmgm,6.7,0.4752,0.4086,1,2026-06-16T12:26:35-04:00,lost,-1.00,-0.2
I2,spreads,home,2,1.80,betus,4.8,0.5912,0.5436,1,2026-06-16T12:26:35-04:00,lost,-1.00,+0.5
J2,totals,over,3,2.41,betonlineag,4.6,0.4480,0.4020,1,2026-06-16T12:26:35-04:00,won,+1.41,-1.1
K1,spreads,home,-1.5,1.98,bovada,6.2,0.5582,0.4961,1,2026-06-17T01:14:00-04:00,lost,-1.00,+2.9
L2,totals,over,2.5,2.40,betmgm,7.9,0.4896,0.4109,1,2026-06-17T01:14:00-04:00,lost,-1.00,
K2,spreads,away,-1.5,2.14,betonlineag,6.0,0.5141,0.4544,1,2026-06-17T01:14:00-04:00,won,+1.14,+1.3
K1,h2h,home,,1.28,draftkings,5.4,0.8009,0.7466,1,2026-06-17T08:26:12-04:00,lost,-1.00,-0.1
K1,totals,under,2.5,2.07,betonlineag,4.3,0.5117,0.4689,1,2026-06-17T08:26:12-04:00,won,+1.07,-0.6
K2,h2h,away,,1.37,draftkings,6.2,0.7645,0.7023,1,2026-06-17T08:26:12-04:00,won,+0.37,+0.0
K2,totals,under,2.5,2.05,betus,4.3,0.5149,0.4720,1,2026-06-17T21:32:37-04:00,lost,-1.00,+0.0
A4,totals,over,2,1.80,betus,7.9,0.6186,0.5393,1,2026-06-18T01:09:38-04:00,lost,-1.00,+6.1
A3,h2h,home,,1.80,draftkings,10.4,0.6377,0.5335,1,2026-06-18T08:09:52-04:00,lost,-1.00,
B4,h2h,home,,1.29,draftkings,8.8,0.8273,0.7397,1,2026-06-18T08:09:52-04:00,won,+0.29,+0.0
